state,N,P,K,pH
Andhra Pradesh,210.5,24.2,280.4,7.2
Telangana,195.0,22.8,265.0,7.4
Tamil Nadu,205.0,19.5,245.0,6.8
Karnataka,225.0,21.0,230.0,6.5
Kerala,260.0,16.5,175.0,5.4
Maharashtra,185.0,18.0,340.0,7.8
Gujarat,170.0,28.5,310.0,7.9
Madhya Pradesh,190.0,15.0,290.0,7.5
Uttar Pradesh,240.0,22.0,220.0,7.6
Punjab,270.0,32.0,260.0,7.8
Haryana,250.0,29.0,240.0,7.9
Rajasthan,140.0,18.0,275.0,8.1
Bihar,215.0,20.5,195.0,7.3
West Bengal,255.0,25.0,185.0,6.2
Odisha,195.0,14.5,190.0,6.0
Assam,280.0,17.0,160.0,5.2
Chhattisgarh,180.0,13.5,210.0,6.4
Jharkhand,190.0,12.0,180.0,5.8
Himachal Pradesh,230.0,26.0,210.0,6.3
Uttarakhand,245.0,24.0,215.0,6.6
Jammu and Kashmir,220.0,22.0,200.0,7.1
Goa,240.0,15.0,170.0,5.6
Tripura,265.0,16.0,165.0,5.3
Meghalaya,290.0,14.0,155.0,5.0
Manipur,275.0,15.5,160.0,5.5
Nagaland,285.0,14.5,150.0,5.2
Mizoram,270.0,13.0,145.0,5.1
Arunachal Pradesh,295.0,15.0,150.0,5.3
Sikkim,290.0,18.0,170.0,5.4
Puducherry,210.0,22.0,235.0,7.0
Delhi,230.0,26.0,210.0,7.7
