state,year,avg_temp_c,total_rainfall_mm,avg_humidity_percent
Andhra Pradesh,1997,28.53,927.5,68.1
Andhra Pradesh,1998,28.53,1048.3,70.5
Andhra Pradesh,1999,28.53,650.4,67.0
Andhra Pradesh,2000,28.8,935.6,69.2
Andhra Pradesh,2001,28.41,928.4,68.9
Andhra Pradesh,2002,28.55,648.1,66.7
Andhra Pradesh,2003,28.64,826.0,65.6
Andhra Pradesh,2004,28.28,781.8,67.1
Andhra Pradesh,2005,28.33,1075.5,69.1
Andhra Pradesh,2006,28.46,845.2,66.3
Andhra Pradesh,2007,28.89,1004.2,68.2
Andhra Pradesh,2008,28.66,944.6,66.6
Andhra Pradesh,2009,28.65,711.0,67.6
Andhra Pradesh,2010,28.31,1297.0,70.0
Andhra Pradesh,2011,28.62,861.9,67.7
Andhra Pradesh,2012,28.59,968.7,70.6
Andhra Pradesh,2013,28.69,1062.3,67.4
Andhra Pradesh,2014,29.03,687.6,65.9
Andhra Pradesh,2015,28.83,940.7,65.9
Andhra Pradesh,2016,28.56,890.0,68.4
Andhra Pradesh,2017,29.0,868.2,68.2
Andhra Pradesh,2018,28.71,1220.5,68.9
Andhra Pradesh,2019,28.58,899.2,67.3
Andhra Pradesh,2020,29.06,1031.2,69.0
Telangana,1997,27.96,770.4,62.7
Telangana,1998,27.94,998.8,65.2
Telangana,1999,27.56,1268.2,64.6
Telangana,2000,27.95,1255.9,64.3
Telangana,2001,27.63,1077.5,62.8
Telangana,2002,28.19,954.5,63.8
Telangana,2003,28.03,915.7,62.9
Telangana,2004,28.25,1005.7,64.0
Telangana,2005,27.33,1267.1,65.9
Telangana,2006,27.82,1254.4,65.0
Telangana,2007,27.95,1022.7,64.5
Telangana,2008,27.9,1038.9,63.2
Telangana,2009,28.3,820.1,63.8
Telangana,2010,28.2,902.1,63.8
Telangana,2011,27.87,1182.4,64.2
Telangana,2012,27.72,1222.9,65.1
Telangana,2013,28.03,1348.7,65.2
Telangana,2014,28.19,746.4,61.4
Telangana,2015,28.18,747.9,62.7
Telangana,2016,28.04,942.6,63.6
Telangana,2017,28.35,815.7,65.6
Telangana,2018,28.11,1350.3,65.5
Telangana,2019,28.21,1031.7,61.8
Telangana,2020,28.25,1057.2,67.2
Tamil Nadu,1997,29.01,864.7,71.5
Tamil Nadu,1998,28.66,1077.1,73.6
Tamil Nadu,1999,29.12,922.8,72.7
Tamil Nadu,2000,28.79,971.1,73.6
Tamil Nadu,2001,28.91,481.3,70.9
Tamil Nadu,2002,29.71,315.9,68.4
Tamil Nadu,2003,29.17,345.6,69.8
Tamil Nadu,2004,28.93,1034.0,70.3
Tamil Nadu,2005,28.93,1364.1,72.0
Tamil Nadu,2006,29.2,927.9,70.6
Tamil Nadu,2007,29.38,1067.2,71.3
Tamil Nadu,2008,28.97,1201.9,73.7
Tamil Nadu,2009,28.92,928.5,72.0
Tamil Nadu,2010,29.38,1095.2,70.4
Tamil Nadu,2011,29.25,926.5,72.1
Tamil Nadu,2012,29.47,706.8,69.5
Tamil Nadu,2013,29.06,740.9,71.7
Tamil Nadu,2014,29.33,911.3,72.0
Tamil Nadu,2015,29.25,1201.9,71.9
Tamil Nadu,2016,29.36,912.4,72.0
Tamil Nadu,2017,29.17,970.9,74.1
Tamil Nadu,2018,29.42,986.2,70.5
Tamil Nadu,2019,29.51,910.1,70.5
Tamil Nadu,2020,29.55,1106.0,71.4
Karnataka,1997,26.29,1266.7,70.4
Karnataka,1998,26.28,1260.8,72.2
Karnataka,1999,26.11,1203.8,68.8
Karnataka,2000,26.0,1213.3,68.8
Karnataka,2001,26.26,1002.9,69.4
Karnataka,2002,26.41,860.8,69.5
Karnataka,2003,26.38,867.6,70.3
Karnataka,2004,26.24,1117.7,72.7
Karnataka,2005,26.36,1316.2,69.1
Karnataka,2006,26.11,1146.3,70.1
Karnataka,2007,26.23,1323.3,71.0
Karnataka,2008,26.45,1164.1,69.5
Karnataka,2009,26.14,1321.0,68.3
Karnataka,2010,26.24,1317.7,71.1
Karnataka,2011,26.45,1179.0,68.1
Karnataka,2012,26.55,956.2,69.3
Karnataka,2013,26.25,1235.6,70.0
Karnataka,2014,26.46,1238.5,68.5
Karnataka,2015,26.62,1024.9,69.8
Karnataka,2016,26.74,1147.2,70.8
Karnataka,2017,26.28,1111.7,68.3
Karnataka,2018,26.56,1419.1,71.1
Karnataka,2019,26.57,1422.3,75.1
Karnataka,2020,26.85,1093.1,70.5
Kerala,1997,26.73,3252.4,88.5
Kerala,1998,26.81,3151.5,87.6
Kerala,1999,26.73,2914.6,87.1
Kerala,2000,27.01,2412.6,88.7
Kerala,2001,26.43,2946.7,88.6
Kerala,2002,26.67,2511.2,85.7
Kerala,2003,27.28,2386.0,85.9
Kerala,2004,26.67,2880.2,86.7
Kerala,2005,26.98,3030.9,87.2
Kerala,2006,26.75,3429.7,89.6
Kerala,2007,26.57,3489.6,92.3
Kerala,2008,27.24,2524.8,83.9
Kerala,2009,27.05,2821.5,86.6
Kerala,2010,27.08,3131.8,87.5
Kerala,2011,26.94,3035.1,88.7
Kerala,2012,27.5,2187.6,83.7
Kerala,2013,26.85,3255.4,88.3
Kerala,2014,26.89,3046.4,90.3
Kerala,2015,27.3,2602.9,85.1
Kerala,2016,27.29,2924.3,90.3
Kerala,2017,27.44,2664.8,85.0
Kerala,2018,27.03,2989.7,89.5
Kerala,2019,26.95,3119.2,88.9
Kerala,2020,27.26,2277.4,85.4
Maharashtra,1997,26.09,1156.1,62.3
Maharashtra,1998,26.64,1314.8,62.6
Maharashtra,1999,27.1,1166.5,61.9
Maharashtra,2000,26.75,1057.8,63.4
Maharashtra,2001,27.15,1035.8,61.4
Maharashtra,2002,27.15,967.4,62.9
Maharashtra,2003,26.71,1037.4,63.7
Maharashtra,2004,26.96,1052.0,62.5
Maharashtra,2005,26.82,1387.2,63.9
Maharashtra,2006,26.83,1439.4,65.3
Maharashtra,2007,27.21,1257.2,62.4
Maharashtra,2008,27.43,1052.8,60.8
Maharashtra,2009,27.01,1002.4,63.7
Maharashtra,2010,26.96,1389.0,63.6
Maharashtra,2011,26.97,1174.1,63.0
Maharashtra,2012,26.98,1003.4,64.0
Maharashtra,2013,27.03,1409.8,63.6
Maharashtra,2014,27.32,1001.6,63.4
Maharashtra,2015,27.37,875.7,63.3
Maharashtra,2016,26.95,1151.1,62.9
Maharashtra,2017,27.3,1129.5,64.2
Maharashtra,2018,27.06,1387.4,64.5
Maharashtra,2019,27.27,1555.8,64.2
Maharashtra,2020,27.18,1091.6,63.1
Gujarat,1997,27.5,798.9,58.3
Gujarat,1998,27.47,775.6,58.8
Gujarat,1999,27.46,458.9,56.9
Gujarat,2000,27.45,379.7,56.2
Gujarat,2001,27.39,666.5,56.9
Gujarat,2002,27.64,458.4,55.1
Gujarat,2003,27.78,902.5,56.5
Gujarat,2004,27.21,719.8,58.4
Gujarat,2005,27.54,942.4,58.5
Gujarat,2006,27.48,1056.2,58.2
Gujarat,2007,27.21,1021.6,58.2
Gujarat,2008,27.39,746.1,58.3
Gujarat,2009,27.56,618.0,55.7
Gujarat,2010,27.35,1107.5,58.9
Gujarat,2011,27.41,890.5,56.6
Gujarat,2012,27.76,460.6,56.4
Gujarat,2013,27.42,1006.5,57.5
Gujarat,2014,27.74,605.6,54.9
Gujarat,2015,27.44,584.3,55.7
Gujarat,2016,27.65,710.5,57.4
Gujarat,2017,27.97,814.8,58.4
Gujarat,2018,27.54,1125.4,58.4
Gujarat,2019,27.41,1067.8,58.2
Gujarat,2020,27.87,642.2,55.8
Madhya Pradesh,1997,25.53,1189.1,58.5
Madhya Pradesh,1998,25.51,962.7,56.4
Madhya Pradesh,1999,25.59,1222.9,56.3
Madhya Pradesh,2000,25.72,723.3,55.0
Madhya Pradesh,2001,25.62,955.0,54.9
Madhya Pradesh,2002,25.68,800.8,55.9
Madhya Pradesh,2003,25.85,1163.0,57.7
Madhya Pradesh,2004,26.11,895.7,54.7
Madhya Pradesh,2005,25.82,1032.7,56.3
Madhya Pradesh,2006,26.09,1072.3,55.3
Madhya Pradesh,2007,25.64,740.4,54.4
Madhya Pradesh,2008,25.34,895.0,55.0
Madhya Pradesh,2009,25.63,904.1,55.8
Madhya Pradesh,2010,25.89,856.3,57.7
Madhya Pradesh,2011,26.03,852.6,54.8
Madhya Pradesh,2012,25.6,1049.5,56.8
Madhya Pradesh,2013,25.38,1451.4,59.8
Madhya Pradesh,2014,26.12,891.2,55.1
Madhya Pradesh,2015,25.52,1000.7,57.6
Madhya Pradesh,2016,25.84,1048.4,57.7
Madhya Pradesh,2017,25.66,800.0,54.6
Madhya Pradesh,2018,25.88,1102.2,56.4
Madhya Pradesh,2019,25.67,1446.7,58.3
Madhya Pradesh,2020,25.93,994.8,56.1
Uttar Pradesh,1997,25.41,473.9,61.0
Uttar Pradesh,1998,25.0,743.4,59.3
Uttar Pradesh,1999,25.44,883.4,62.0
Uttar Pradesh,2000,25.06,874.4,63.4
Uttar Pradesh,2001,25.26,849.9,62.9
Uttar Pradesh,2002,25.35,664.0,63.3
Uttar Pradesh,2003,25.54,1075.6,62.0
Uttar Pradesh,2004,25.55,704.0,61.7
Uttar Pradesh,2005,25.63,751.9,60.0
Uttar Pradesh,2006,25.58,590.5,61.8
Uttar Pradesh,2007,25.08,672.9,59.4
Uttar Pradesh,2008,24.96,891.6,61.3
Uttar Pradesh,2009,25.65,585.8,62.4
Uttar Pradesh,2010,25.48,742.6,63.1
Uttar Pradesh,2011,25.19,777.4,59.2
Uttar Pradesh,2012,25.49,746.3,61.6
Uttar Pradesh,2013,25.42,995.2,59.5
Uttar Pradesh,2014,25.58,616.4,59.1
Uttar Pradesh,2015,25.76,596.7,61.0
Uttar Pradesh,2016,25.31,965.3,61.3
Uttar Pradesh,2017,25.43,652.1,60.7
Uttar Pradesh,2018,25.79,792.8,60.1
Uttar Pradesh,2019,25.72,814.5,60.7
Uttar Pradesh,2020,25.53,1011.2,60.8
Punjab,1997,24.31,690.1,56.5
Punjab,1998,24.88,588.6,57.6
Punjab,1999,24.45,364.4,57.0
Punjab,2000,24.58,405.3,56.7
Punjab,2001,24.71,479.3,58.1
Punjab,2002,24.57,301.8,55.9
Punjab,2003,24.58,451.7,54.3
Punjab,2004,24.39,366.4,58.4
Punjab,2005,24.96,566.7,57.2
Punjab,2006,24.77,569.6,57.9
Punjab,2007,25.3,527.2,58.7
Punjab,2008,24.62,691.3,56.8
Punjab,2009,24.47,371.3,57.0
Punjab,2010,24.65,392.7,55.2
Punjab,2011,24.57,705.2,56.7
Punjab,2012,25.2,338.9,57.7
Punjab,2013,24.78,586.6,59.3
Punjab,2014,24.9,382.7,55.8
Punjab,2015,25.16,512.6,57.9
Punjab,2016,24.62,635.9,57.5
Punjab,2017,24.73,497.5,55.6
Punjab,2018,25.07,585.5,59.8
Punjab,2019,24.6,653.2,58.5
Punjab,2020,24.81,624.1,57.0
Haryana,1997,24.96,661.2,55.9
Haryana,1998,24.98,687.6,56.2
Haryana,1999,25.29,344.0,54.4
Haryana,2000,25.13,383.7,54.2
Haryana,2001,25.44,483.8,55.8
Haryana,2002,25.16,353.9,54.9
Haryana,2003,25.43,592.3,53.6
Haryana,2004,25.45,484.6,54.4
Haryana,2005,25.47,516.9,54.4
Haryana,2006,25.09,329.3,52.7
Haryana,2007,25.43,443.8,55.4
Haryana,2008,25.15,715.6,56.8
Haryana,2009,25.15,393.0,54.8
Haryana,2010,25.16,639.2,55.0
Haryana,2011,25.5,471.5,54.1
Haryana,2012,25.5,307.9,55.8
Haryana,2013,25.42,452.2,56.1
Haryana,2014,25.39,301.3,55.2
Haryana,2015,25.88,426.8,52.0
Haryana,2016,25.4,554.7,56.1
Haryana,2017,25.59,417.1,55.4
Haryana,2018,25.49,533.2,55.5
Haryana,2019,25.67,351.8,56.1
Haryana,2020,25.66,669.3,55.3
Rajasthan,1997,26.62,495.3,46.7
Rajasthan,1998,26.73,621.0,49.2
Rajasthan,1999,26.55,815.3,48.8
Rajasthan,2000,26.24,769.1,46.0
Rajasthan,2001,26.68,585.5,46.6
Rajasthan,2002,26.82,625.6,46.4
Rajasthan,2003,26.36,545.6,46.7
Rajasthan,2004,26.49,639.1,48.1
Rajasthan,2005,26.67,759.4,47.9
Rajasthan,2006,26.75,912.9,48.0
Rajasthan,2007,26.65,696.0,47.9
Rajasthan,2008,26.92,532.4,45.8
Rajasthan,2009,27.0,524.1,47.6
Rajasthan,2010,26.89,537.4,45.2
Rajasthan,2011,26.98,683.5,47.8
Rajasthan,2012,27.07,751.2,48.8
Rajasthan,2013,27.29,774.1,46.3
